fund_id,fund_name,amc_id,category_id,risk_rating_id,benchmark_id,inception_date
56,Fund 27,7,6,4,4,2007-12-06
57,Fund 106,7,4,4,2,2002-02-16
58,Fund 25,5,5,1,5,2008-07-09
59,Fund 191,7,3,1,2,2006-09-11
60,Fund 19,1,2,3,5,2015-10-24
61,Fund 148,4,2,3,3,2010-12-20
62,Fund 175,1,3,2,5,2011-08-15
63,Fund 112,7,6,1,2,2009-03-18
64,Fund 50,8,4,2,2,2021-04-21
65,Fund 149,5,2,2,2,2009-01-18
66,Fund 115,8,6,2,3,1999-02-04
67,Fund 117,7,5,4,2,2011-12-26
68,Fund 150,3,3,2,1,2003-02-23
69,Fund 160,4,4,1,1,2016-03-02
70,Fund 85,4,1,4,4,2003-11-13
71,Fund 195,5,5,4,3,2005-07-13
72,Fund 163,2,3,1,2,1992-06-18
73,Fund 68,7,6,3,2,1990-10-21
74,Fund 31,1,5,4,4,2002-01-01
75,Fund 10,5,2,2,4,2016-07-23
76,Fund 89,2,5,1,3,2004-06-28
77,Fund 190,3,4,1,2,1990-11-23
78,Fund 66,6,3,2,1,2022-08-16
79,Fund 24,4,4,2,5,2008-05-10
80,Fund 71,1,5,4,3,2010-07-07
81,Fund 144,8,2,2,2,1999-07-23
82,Fund 128,5,4,3,2,2005-04-07
83,Fund 194,4,1,2,2,1991-09-26
84,Fund 174,5,3,1,1,2022-02-01
85,Fund 195,7,1,2,4,2014-04-26
86,Fund 145,4,1,2,1,1993-07-11
87,Fund 98,7,6,1,1,1994-05-03
88,Fund 50,2,4,4,5,2005-12-28
89,Fund 29,8,3,2,2,1993-05-18
90,Fund 35,3,4,3,2,2019-09-05
91,Fund 165,6,1,2,5,2004-09-27
92,Fund 64,6,2,1,3,2012-08-27
93,Fund 31,6,3,4,4,1995-11-24
94,Fund 147,2,3,3,5,2011-06-24
95,Fund 66,1,4,3,2,2020-09-01
96,Fund 93,4,5,2,5,2002-09-23
97,Fund 14,8,3,3,4,1992-10-28
98,Fund 68,4,6,1,3,2018-10-18
99,Fund 178,2,4,3,2,1995-09-06
100,Fund 110,8,6,4,5,2017-07-01
101,Fund 15,5,4,1,4,2018-10-01
102,Fund 1,4,6,3,5,2002-10-02
103,Fund 87,3,2,3,3,2004-07-25
104,Fund 190,5,4,2,5,2018-05-11
105,Fund 67,4,5,3,2,2010-11-16
106,Fund 2,7,1,4,4,2020-09-07
107,Fund 92,3,5,4,1,2017-02-09
108,Fund 136,8,5,3,1,2012-01-22
109,Fund 64,3,6,4,2,2021-06-05
110,Fund 169,7,6,1,4,2002-11-04
111,Fund 68,6,6,2,2,2013-09-22
112,Fund 47,5,3,4,4,1997-03-01
113,Fund 36,2,3,4,5,2016-03-13
114,Fund 53,7,3,2,5,2009-12-13
115,Fund 60,2,5,4,2,2003-02-20
116,Fund 126,2,3,2,3,2009-01-19
117,Fund 147,5,4,3,4,2016-01-24
118,Fund 123,3,4,4,3,1993-04-24
119,Fund 89,6,6,4,4,1997-02-06
120,Fund 16,8,3,1,2,1999-10-21
121,Fund 126,1,4,1,3,1997-01-23
122,Fund 131,4,2,4,3,2012-10-15
123,Fund 38,2,2,2,3,2001-06-24
124,Fund 46,4,5,1,2,2009-08-08
125,Fund 29,4,1,3,1,1991-11-16
126,Fund 106,4,3,1,2,1995-12-02
127,Fund 166,4,1,3,3,1997-09-21
128,Fund 62,7,5,4,5,2020-07-18
129,Fund 168,2,1,4,4,2013-06-06
130,Fund 98,3,3,2,1,2020-04-16
131,Fund 191,3,6,3,1,2011-05-25
132,Fund 46,2,2,2,2,2009-08-26
133,Fund 123,6,4,4,2,2012-02-28
134,Fund 96,6,4,1,5,1990-06-07
135,Fund 11,8,3,3,5,2013-01-12
136,Fund 114,4,5,3,5,2004-09-05
137,Fund 54,2,6,1,5,2022-09-03
138,Fund 64,6,3,4,4,1992-10-14
139,Fund 159,8,6,1,3,1992-02-18
140,Fund 72,4,3,4,1,1995-05-23
141,Fund 6,8,3,2,4,1993-04-27
142,Fund 57,2,4,3,3,1999-10-19
143,Fund 123,6,1,1,1,2014-10-02
144,Fund 107,7,5,1,4,2001-06-16
145,Fund 17,1,5,2,1,2013-03-24
146,Fund 184,8,1,3,5,2002-12-18
147,Fund 18,2,3,4,4,2017-09-04
148,Fund 117,3,1,4,1,1996-10-13
149,Fund 146,2,5,1,5,2022-06-13
150,Fund 72,5,2,4,3,1999-07-14
151,Fund 173,2,2,1,3,2016-06-26
152,Fund 152,8,2,1,4,2022-07-02
153,Fund 140,8,3,2,3,2000-09-22
154,Fund 54,5,4,1,4,2003-05-21
155,Fund 5,7,5,3,3,1990-02-18
156,Fund 6,1,6,3,1,2022-08-11
157,Fund 52,2,1,2,2,2013-10-24
158,Fund 183,4,5,3,5,1990-08-25
159,Fund 101,6,2,2,1,2001-12-21
160,Fund 16,1,4,3,4,2020-05-17
161,Fund 149,1,6,4,5,2016-11-03
162,Fund 136,1,6,3,4,2012-09-03
163,Fund 197,1,4,4,3,2017-08-16
164,Fund 45,6,2,3,1,1998-07-21
165,Fund 100,4,1,2,1,2002-12-19
166,Fund 60,8,6,4,5,2018-11-03
167,Fund 160,2,3,1,2,2012-01-26
168,Fund 52,1,3,3,1,2014-04-03
169,Fund 132,7,5,1,1,2007-09-21
170,Fund 130,3,6,1,1,1996-10-08
171,Fund 97,8,1,3,2,2004-07-25
172,Fund 56,4,6,1,1,1998-05-11
173,Fund 142,7,1,4,4,2010-12-05
174,Fund 69,5,4,3,2,2001-01-16
175,Fund 123,4,2,4,3,1990-08-11
176,Fund 176,5,6,2,4,2016-05-15
177,Fund 173,1,1,4,4,2008-09-03
178,Fund 105,4,6,2,2,1993-08-11
179,Fund 49,4,6,1,3,2005-10-23
180,Fund 103,4,6,4,5,2020-05-22
181,Fund 51,2,2,4,2,2009-07-20
182,Fund 72,2,1,4,2,2005-07-07
183,Fund 62,8,6,2,2,2002-10-25
184,Fund 19,6,4,1,4,2003-09-12
185,Fund 11,7,4,3,1,2005-02-07
186,Fund 31,6,3,2,4,1995-02-23
187,Fund 68,6,3,4,2,2010-07-18
188,Fund 30,4,3,2,2,2008-09-12
189,Fund 175,1,1,4,2,1996-05-27
190,Fund 29,1,3,3,5,2014-04-19
191,Fund 150,5,5,3,5,2007-02-20
192,Fund 165,5,4,2,2,2013-10-16
193,Fund 70,6,2,4,2,2010-01-07
194,Fund 48,4,6,4,2,2019-08-10
195,Fund 69,3,6,3,1,2018-10-13
196,Fund 33,2,1,3,5,1994-09-08
197,Fund 174,4,2,2,4,2002-07-17
198,Fund 183,8,4,1,4,2017-11-14
199,Fund 195,7,3,1,5,2000-09-02
200,Fund 141,8,4,2,4,2009-05-25
201,Fund 94,8,1,3,5,1995-11-04
202,Fund 130,5,5,3,5,2001-11-14
203,Fund 194,4,5,3,5,2016-11-24
204,Fund 5,6,2,3,4,1997-06-03
205,Fund 107,4,3,1,3,2004-06-12
206,Fund 5,3,6,3,1,2004-01-18
207,Fund 61,8,4,3,3,1996-06-17
208,Fund 89,5,2,3,3,2003-05-20
209,Fund 63,1,4,4,3,2021-01-17
210,Fund 10,4,6,4,4,2014-10-06
211,Fund 64,7,6,2,5,2008-12-01
212,Fund 108,8,5,4,1,2010-02-06
213,Fund 172,2,1,1,1,2015-01-26
214,Fund 194,6,2,4,3,2005-01-16
215,Fund 12,3,2,2,5,1999-06-26
216,Fund 112,1,5,1,3,2020-05-17
217,Fund 77,6,1,4,4,2014-07-16
218,Fund 148,2,4,3,1,2012-06-19
219,Fund 15,6,3,1,4,2008-02-13
220,Fund 33,7,3,2,4,2002-10-24
221,Fund 169,4,1,1,4,1993-05-12
222,Fund 195,1,5,2,1,2003-07-20
223,Fund 119,5,3,1,2,1993-06-11
224,Fund 187,8,3,2,2,1996-04-23
225,Fund 62,1,3,1,5,2004-01-06
226,Fund 133,4,6,1,3,2003-12-26
227,Fund 37,7,4,1,3,1995-12-22
228,Fund 53,8,3,4,1,1997-01-08
229,Fund 3,4,1,2,1,2004-11-15
230,Fund 166,8,6,1,5,1997-10-28
231,Fund 188,2,3,1,5,2014-09-10
232,Fund 83,6,5,3,2,2020-01-25
233,Fund 124,8,4,1,4,1992-04-24
234,Fund 109,8,2,2,1,2022-02-07
235,Fund 193,6,4,3,2,2002-03-26
236,Fund 151,5,3,2,3,2005-01-18
237,Fund 183,5,4,3,2,2022-08-20
238,Fund 180,7,5,3,1,2020-12-17
239,Fund 80,4,2,3,3,2008-04-17
240,Fund 98,4,2,1,4,2014-05-03
241,Fund 76,6,5,3,2,2010-02-07
242,Fund 178,7,6,3,5,1996-08-06
243,Fund 1,5,6,1,4,2010-06-19
244,Fund 137,7,6,2,5,2005-02-08
245,Fund 180,4,6,2,4,2011-11-06
246,Fund 162,1,5,3,4,2007-11-18
247,Fund 137,8,6,4,2,1996-04-12
248,Fund 143,4,6,4,4,1992-04-01
249,Fund 8,4,6,2,5,2007-10-26
250,Fund 46,7,2,1,5,1991-03-24
251,Fund 5,6,6,1,5,2007-04-11
252,Fund 176,6,4,1,5,2014-01-01
253,Fund 181,2,6,4,1,2012-05-10
254,Fund 69,8,6,4,2,2014-10-12
255,Fund 56,4,6,1,3,2001-09-17
256,Fund 71,1,1,1,4,1996-02-12
257,Fund 48,4,5,2,3,2013-06-03
258,Fund 180,6,4,3,1,2007-10-16
259,Fund 200,8,1,1,2,2002-11-28
260,Fund 145,6,3,4,4,2011-07-12
261,Fund 43,3,6,2,4,2006-11-01
262,Fund 196,8,3,4,4,2015-12-24
263,Fund 105,1,4,4,1,2007-02-21
264,Fund 4,1,4,3,1,1994-08-08
265,Fund 144,5,4,2,5,1999-04-27
266,Fund 18,7,2,4,3,2021-07-23
267,Fund 58,7,5,4,1,2016-08-05
268,Fund 80,8,2,1,2,2005-02-24
269,Fund 133,4,5,2,1,2014-05-14
270,Fund 48,5,4,3,4,2006-07-28
271,Fund 42,6,5,4,5,2002-09-08
272,Fund 26,1,1,3,4,2008-11-08
273,Fund 130,7,5,2,3,1994-03-22
274,Fund 62,1,1,3,3,2021-03-03
275,Fund 112,6,1,4,4,1998-01-16
276,Fund 131,4,3,2,3,2001-02-16
277,Fund 3,7,5,1,1,1993-01-01
278,Fund 153,8,3,2,1,2009-01-15
279,Fund 68,1,6,2,1,2014-05-25
280,Fund 178,2,6,1,1,2004-07-12
281,Fund 166,2,6,4,5,2008-01-24
282,Fund 181,2,5,4,3,2013-01-14
283,Fund 171,7,2,4,4,2021-10-03
284,Fund 70,2,1,4,3,2021-06-05
285,Fund 26,6,6,1,5,2006-07-20
286,Fund 157,2,6,2,4,1998-05-06
287,Fund 175,2,1,2,4,2021-06-18
288,Fund 98,8,5,2,1,2019-07-27
289,Fund 17,8,6,3,1,2014-08-12
290,Fund 122,4,4,2,2,1996-03-24
291,Fund 87,7,2,2,4,2002-10-01
292,Fund 97,6,3,1,1,2002-02-14
293,Fund 76,8,6,2,3,2009-02-13
294,Fund 191,3,2,4,2,1997-05-12
295,Fund 56,4,1,2,3,2010-03-03
296,Fund 173,6,2,3,1,2019-01-08
297,Fund 13,2,6,4,1,2017-10-15
298,Fund 155,6,1,4,1,2005-10-12
299,Fund 189,7,1,1,4,1998-12-01
300,Fund 109,7,6,4,3,2004-03-02
301,Fund 75,2,3,1,2,2005-12-18
302,Fund 101,8,1,4,5,1998-04-20
303,Fund 42,7,3,3,1,2013-12-26
304,Fund 180,4,5,4,2,2003-07-09
305,Fund 131,1,2,2,4,1991-04-20
306,Fund 178,4,3,4,1,2016-09-13
307,Fund 111,4,5,3,3,2019-06-24
308,Fund 171,4,2,1,1,2002-12-17
309,Fund 188,7,6,4,2,2017-07-09
310,Fund 199,5,2,2,3,2009-04-23
311,Fund 151,1,2,1,2,1990-10-26
312,Fund 16,6,3,3,2,2005-07-18
313,Fund 147,6,4,3,3,2021-12-14
314,Fund 69,6,1,2,3,1992-05-26
315,Fund 175,3,3,1,4,2015-07-04
316,Fund 146,6,6,2,5,2022-10-21
317,Fund 82,4,1,2,3,2003-04-20
318,Fund 173,5,4,4,5,2013-02-07
319,Fund 45,4,1,4,2,1990-03-11
320,Fund 186,4,4,4,3,2010-12-04
321,Fund 75,6,1,3,3,2010-03-07
322,Fund 113,7,4,2,5,2019-01-14
323,Fund 32,7,6,4,1,2003-11-22
324,Fund 64,6,3,2,1,2012-10-20
325,Fund 171,3,5,1,4,2016-10-05
326,Fund 88,2,2,3,4,1996-05-23
327,Fund 48,2,2,4,1,2014-11-26
328,Fund 195,1,3,1,4,2017-12-19
329,Fund 196,7,4,1,5,2005-08-03
330,Fund 7,1,3,3,1,2017-01-07
331,Fund 69,2,4,2,1,2005-06-24
332,Fund 157,7,1,2,4,1993-03-23
333,Fund 187,6,5,2,2,2010-05-14
334,Fund 58,1,5,3,1,2009-09-08
335,Fund 125,3,2,3,3,2021-01-23
336,Fund 78,7,2,3,1,2008-10-18
337,Fund 40,4,3,1,5,2004-04-23
338,Fund 182,1,4,2,4,1992-12-21
339,Fund 112,5,6,3,3,2011-06-06
340,Fund 116,1,1,3,4,1998-03-11
341,Fund 56,5,4,4,1,1999-09-02
342,Fund 18,7,3,2,2,2018-04-28
343,Fund 141,8,5,1,3,2014-10-19
344,Fund 51,4,5,4,5,1995-08-08
345,Fund 93,7,4,3,2,2005-07-14
346,Fund 76,8,4,4,2,2009-03-18
347,Fund 2,6,4,1,3,2019-02-19
348,Fund 41,7,2,4,4,2005-10-21
349,Fund 123,5,2,3,1,2002-02-17
350,Fund 67,6,2,3,3,2008-08-14
351,Fund 194,7,2,4,1,2005-07-08
352,Fund 179,8,4,2,1,2019-10-01
353,Fund 101,2,4,4,3,1999-08-08
354,Fund 113,1,2,4,1,2017-01-06
355,Fund 66,6,6,4,1,2005-03-04
356,Fund 9,3,4,4,4,2006-01-22
357,Fund 103,4,4,1,1,2005-11-16
358,Fund 153,6,4,4,2,2018-02-26
359,Fund 53,1,1,1,3,1995-06-15
360,Fund 138,6,5,3,4,2001-10-21
361,Fund 4,1,6,3,4,1997-05-12
362,Fund 199,2,4,3,2,2022-01-28
363,Fund 83,8,5,2,4,2018-11-09
364,Fund 163,8,4,1,3,1993-02-02
365,Fund 33,5,6,1,2,2013-11-18
366,Fund 131,1,2,1,3,1994-07-22
367,Fund 34,5,4,4,2,1997-11-25
368,Fund 149,2,4,4,3,2016-10-05
369,Fund 198,3,3,4,1,1996-12-07
370,Fund 151,4,6,4,5,1998-11-15
371,Fund 85,4,2,3,4,1992-02-13
372,Fund 91,2,2,4,5,2009-09-22
373,Fund 76,5,2,3,3,2009-09-11
374,Fund 37,2,3,1,4,1994-03-17
375,Fund 124,5,5,3,5,2003-10-08
376,Fund 137,7,3,1,1,2018-05-09
377,Fund 34,3,5,3,2,2000-07-02
378,Fund 38,3,3,1,1,2005-10-03
379,Fund 122,4,2,1,1,1992-09-21
380,Fund 92,8,2,4,1,2003-02-18
381,Fund 196,5,5,1,2,1997-07-28
382,Fund 49,4,5,4,2,2020-08-12
383,Fund 71,2,1,1,4,1993-03-16
384,Fund 147,1,4,4,2,1991-03-24
385,Fund 54,2,4,3,5,2004-08-15
386,Fund 94,3,5,1,1,2010-07-16
387,Fund 166,2,5,4,3,1993-09-14
388,Fund 187,4,5,2,4,2011-09-04
389,Fund 156,2,5,1,5,1997-08-12
390,Fund 108,5,2,2,1,1992-07-25
391,Fund 73,3,1,2,5,2000-03-18
392,Fund 40,5,2,4,4,2006-07-14
393,Fund 126,1,1,2,5,2003-05-13
394,Fund 16,6,6,2,5,2014-05-10
395,Fund 55,6,5,3,4,2000-05-11
396,Fund 128,3,1,1,2,1991-07-28
397,Fund 172,6,6,2,4,2000-05-25
398,Fund 81,2,5,1,2,2009-02-18
399,Fund 141,3,3,4,1,2016-05-20
400,Fund 117,6,2,3,3,2002-09-24
401,Fund 70,8,2,2,5,2021-07-03
402,Fund 63,4,4,1,5,2012-08-08
403,Fund 164,2,1,3,5,1997-11-26
404,Fund 104,1,6,1,1,2001-03-14
405,Fund 115,5,2,4,2,1997-04-20
406,Fund 83,7,3,3,4,1993-03-15
407,Fund 1,5,2,1,5,2022-04-06
408,Fund 94,1,5,4,5,2017-07-11
409,Fund 84,7,6,4,1,2022-07-27
410,Fund 110,1,2,1,3,2017-01-07
411,Fund 94,7,1,2,4,1993-08-28
412,Fund 34,6,4,2,5,2014-11-21
413,Fund 11,4,3,1,2,1999-01-26
414,Fund 176,4,2,4,1,2005-07-24
415,Fund 190,6,3,1,2,1990-08-13
416,Fund 19,5,4,1,2,2006-03-10
417,Fund 106,5,4,4,4,2005-01-11
418,Fund 157,3,3,2,1,2006-09-05
419,Fund 127,6,1,2,5,2013-01-22
420,Fund 91,6,1,4,5,2007-04-02
421,Fund 141,1,3,1,2,1993-02-27
422,Fund 73,4,2,1,4,2010-11-27
423,Fund 170,5,3,1,3,1995-05-27
424,Fund 57,4,3,4,5,2006-02-09
425,Fund 131,6,6,2,1,2010-08-16
426,Fund 146,3,2,4,4,2019-10-18
427,Fund 53,6,4,4,2,2019-10-10
428,Fund 86,6,2,4,1,2018-09-23
429,Fund 13,8,5,4,3,1996-03-14
430,Fund 189,5,6,2,5,1997-06-07
431,Fund 107,4,2,2,1,2008-09-18
432,Fund 133,7,5,1,4,2000-05-20
433,Fund 177,4,6,4,3,1999-11-05
434,Fund 17,8,4,2,5,2014-04-04
435,Fund 162,7,2,4,3,1990-12-24
436,Fund 158,3,4,2,5,2008-12-28
437,Fund 113,8,6,2,5,2016-08-06
438,Fund 190,4,4,2,2,1995-03-02
439,Fund 104,3,1,2,2,2006-08-16
440,Fund 71,3,3,3,2,2010-11-28
441,Fund 159,4,6,2,1,2004-09-16
442,Fund 97,2,5,1,1,1997-03-26
443,Fund 4,8,6,1,1,1994-08-13
444,Fund 177,3,5,3,4,2021-08-20
445,Fund 55,4,5,1,1,1992-12-25
446,Fund 75,7,2,1,4,1998-10-15
447,Fund 103,7,5,3,1,2000-01-09
448,Fund 172,5,1,1,3,2014-09-04
449,Fund 94,6,2,3,4,1994-12-21
450,Fund 63,1,6,1,2,2016-12-26
451,Fund 186,3,2,1,1,2022-07-07
452,Fund 86,6,6,3,4,2000-04-08
453,Fund 110,3,6,3,3,1993-03-18
454,Fund 106,8,3,2,4,1992-08-08
455,Fund 84,7,2,2,3,1993-08-25
456,Fund 171,4,3,2,2,2006-12-09
457,Fund 139,2,3,1,1,2011-12-11
458,Fund 58,6,4,4,3,1991-02-02
459,Fund 60,4,6,4,1,2018-12-03
460,Fund 123,2,1,4,1,2011-02-07
461,Fund 168,4,4,3,5,2013-08-25
462,Fund 162,8,3,3,1,2006-01-21
463,Fund 166,1,2,1,5,2014-01-17
464,Fund 61,6,5,1,5,2013-09-07
465,Fund 117,1,1,2,1,1999-09-28
466,Fund 35,1,5,2,3,2012-04-04
467,Fund 87,7,4,1,5,2004-07-18
468,Fund 80,5,2,4,4,2018-04-26
469,Fund 11,2,6,3,5,2014-02-07
470,Fund 106,5,3,1,4,1993-12-22
471,Fund 120,7,2,3,5,2003-04-14
472,Fund 44,2,3,1,1,2002-09-17
473,Fund 123,3,5,3,1,1993-10-01
474,Fund 30,2,5,1,3,1992-11-23
475,Fund 121,5,6,2,4,2006-07-07
476,Fund 145,3,4,4,1,1995-04-06
477,Fund 28,3,1,3,2,2001-05-11
478,Fund 56,1,2,2,1,2010-03-28
479,Fund 81,4,1,1,5,2018-08-17
480,Fund 46,6,1,3,5,2001-12-26
481,Fund 154,3,1,3,3,2020-05-09
482,Fund 135,8,2,2,3,1999-07-22
483,Fund 198,8,6,3,3,2004-04-14
484,Fund 93,2,2,4,5,2018-08-11
485,Fund 92,5,3,1,5,2009-03-13
486,Fund 88,4,6,1,3,2015-11-23
487,Fund 76,6,3,4,2,2010-07-01
488,Fund 84,4,1,3,4,2007-02-06
489,Fund 191,5,2,1,2,2001-01-24
490,Fund 28,1,6,4,2,2004-01-20
491,Fund 30,2,4,2,5,2009-05-25
492,Fund 99,1,6,2,2,2008-09-10
493,Fund 180,4,5,2,5,2016-11-09
494,Fund 181,1,1,3,5,2019-09-27
495,Fund 12,6,2,2,4,2002-02-27
496,Fund 12,4,5,3,5,2022-11-17
497,Fund 39,1,5,1,4,2013-05-21
498,Fund 167,1,4,2,2,2010-05-20
499,Fund 26,8,1,4,1,2013-02-19
500,Fund 52,4,5,3,2,2008-11-20
501,Fund 94,1,1,1,5,2004-09-24
502,Fund 121,1,3,3,4,2011-04-01
503,Fund 92,7,5,4,3,1999-12-23
504,Fund 45,2,1,1,2,2007-05-25
505,Fund 181,4,3,2,3,2014-01-28
506,Fund 81,5,2,4,1,1993-09-24
507,Fund 6,2,4,2,1,1990-09-11
508,Fund 150,7,3,4,4,1998-01-11
509,Fund 199,4,4,3,5,2007-08-01
510,Fund 67,1,6,4,2,2011-10-15
511,Fund 92,2,4,3,1,2011-07-14
512,Fund 28,7,6,2,3,2014-03-18
513,Fund 171,8,6,2,2,2008-03-25
514,Fund 17,3,2,1,2,2007-08-10
515,Fund 85,4,4,1,3,2001-04-18
516,Fund 72,1,6,1,3,1997-07-21
517,Fund 28,2,2,2,1,1994-03-10
518,Fund 125,2,5,4,2,1998-02-07
519,Fund 192,7,2,3,5,2021-10-24
520,Fund 92,2,4,4,3,2009-02-04
521,Fund 160,4,5,4,5,2002-09-26
522,Fund 154,4,2,1,1,2015-02-08
523,Fund 63,1,1,3,2,1992-09-25
524,Fund 18,4,3,1,3,2019-04-23
525,Fund 194,2,5,3,3,2020-09-22
526,Fund 25,7,4,1,3,2002-08-26
527,Fund 90,2,5,4,4,1995-11-09
528,Fund 38,4,1,2,5,2013-07-19
529,Fund 90,2,6,4,2,2005-04-18
530,Fund 20,3,5,3,1,1995-05-19
531,Fund 168,4,4,1,3,2002-07-27
532,Fund 145,3,4,2,5,2011-10-21
533,Fund 38,3,5,1,2,2001-07-28
534,Fund 174,3,4,1,2,1999-01-25
535,Fund 77,1,5,2,5,1997-03-25
536,Fund 179,1,5,1,2,2012-01-18
537,Fund 30,4,1,2,1,1993-08-13
538,Fund 10,1,6,1,4,2012-07-19
539,Fund 196,1,2,4,2,1999-03-12
540,Fund 97,4,2,1,2,1995-03-27
541,Fund 149,2,2,3,1,1997-10-03
542,Fund 9,5,6,4,5,2016-05-18
543,Fund 103,5,3,2,1,2020-10-14
544,Fund 55,5,6,3,2,1995-05-27
545,Fund 54,2,3,2,2,2013-01-20
546,Fund 145,6,1,1,2,1991-11-26
547,Fund 136,1,2,3,2,1998-11-21
548,Fund 75,1,1,1,5,2015-02-24
549,Fund 148,8,4,4,4,2005-12-09
550,Fund 32,1,1,4,4,2005-09-13
551,Fund 53,7,4,1,4,2009-05-02
552,Fund 22,2,3,2,2,1999-07-27
553,Fund 52,2,4,1,4,1993-12-18
554,Fund 73,1,1,1,1,2005-10-03
555,Fund 32,5,4,2,3,2014-02-27
556,Fund 48,7,3,4,5,2008-07-17
557,Fund 9,5,2,4,1,2007-10-20
558,Fund 73,1,4,3,3,2016-05-13
559,Fund 2,4,1,3,4,1997-08-01
560,Fund 111,8,5,4,1,2000-12-20
561,Fund 179,7,3,1,1,2016-02-14
562,Fund 120,6,4,3,1,2019-10-16
563,Fund 121,4,3,1,5,2014-12-24
564,Fund 154,6,1,3,4,2018-03-02
565,Fund 158,1,5,4,5,1990-10-03
566,Fund 71,2,3,1,1,1999-11-19
567,Fund 30,7,3,3,2,1995-05-18
568,Fund 167,2,3,2,3,2004-01-25
569,Fund 126,8,5,1,3,2007-05-02
570,Fund 100,4,5,4,4,1998-08-09
571,Fund 134,7,3,1,1,2008-08-26
572,Fund 143,2,5,3,3,1996-12-17
573,Fund 139,4,3,2,2,2001-05-16
574,Fund 63,1,6,3,1,1998-10-03
575,Fund 16,2,2,3,2,2004-08-17
576,Fund 11,6,4,4,3,2011-12-03
577,Fund 98,1,6,1,3,1998-12-28
578,Fund 63,8,1,1,4,2012-06-14
579,Fund 111,3,4,2,2,2007-05-11
580,Fund 44,1,6,1,2,2012-10-15
581,Fund 165,6,5,1,1,2000-11-18
582,Fund 57,8,6,3,4,2019-02-15
583,Fund 7,2,6,4,5,2017-11-24
584,Fund 12,6,3,3,5,2009-04-22
585,Fund 138,6,2,3,5,2016-08-18
586,Fund 161,8,6,2,4,2018-01-03
587,Fund 128,1,4,2,2,1997-09-11
588,Fund 75,6,5,4,1,2017-11-08
589,Fund 24,4,2,1,4,1999-10-12
590,Fund 110,5,3,2,3,2003-05-24
591,Fund 164,3,2,3,5,1997-12-26
592,Fund 153,7,4,2,4,2010-11-01
593,Fund 64,3,2,2,3,1995-12-11
594,Fund 60,2,2,3,1,1994-04-04
595,Fund 178,7,5,2,2,2019-05-19
596,Fund 46,6,1,1,1,1996-08-19
597,Fund 84,2,2,2,2,2000-12-20
598,Fund 167,3,1,1,5,1998-01-26
599,Fund 102,4,6,4,1,2003-04-07
600,Fund 138,4,2,3,5,2013-08-21
601,Fund 164,1,6,1,5,1998-03-03
602,Fund 54,1,1,1,2,2011-10-07
603,Fund 74,2,6,1,5,2004-11-13
604,Fund 191,8,6,2,2,2014-03-01
605,Fund 48,4,1,4,5,1993-03-21
