fund_id,nav,aum_in_cr,expense_ratio,1yr_return,3yr_return,5yr_return
40,264.31,570.5,1.52,22.72,23.27,23.78
41,95.44,24337.76,0.74,-9.33,-0.37,10.29
42,198.94,30492.78,0.58,22.16,29.35,10.44
43,318.4,38178.91,2.05,38.69,24.91,24.36
44,180.98,6760.82,1.85,37.85,11.83,14.41
45,82.42,28752.46,0.94,32.12,15.16,14.39
46,49.67,41851.47,1.88,35.87,1.02,1.82
47,267.24,46425.7,2.76,-1.22,5.68,23.92
48,207.27,818.56,1.62,35.78,9.54,12.61
49,90.82,40249.74,2.2,3.07,23.2,22.99
50,310.82,14134.47,1.34,28.44,17.33,12.47
51,266.93,34921.55,2.57,32.02,5.22,10.77
52,213.13,14135.64,2.57,17.2,26.35,16.37
53,372.66,21958.9,2.7,3.47,0.67,14.64
54,184.98,49742.35,2.27,19.08,2.33,14.98
55,293.45,309.83,1.31,32.52,21.58,5.47
56,250.66,49678.99,1.06,10.29,6.91,3.74
57,368.5,29893.47,0.62,-3.49,6.12,8.68
58,312.93,23883.64,1.03,34.89,27.7,17.47
59,440.6,47742.69,2.3,-8.11,0.99,24.09
60,216.47,43020.01,1.97,-3.52,18.63,22.23
61,303.29,33377.71,1.74,-7.71,8.84,2.77
62,368.08,38677.44,1.35,34.65,7.06,4.65
63,151.67,7801.79,2.47,28.01,20.57,11.46
64,278.8,38376.01,2.88,6.71,11.7,17.04
65,348.22,11003.38,2.53,4.23,19.56,23.66
66,376.76,31611.42,1.49,16.07,18.29,1.99
67,55.14,19546.1,2.51,10.39,3.29,2.03
68,282.61,8893.1,2.94,-9.54,24.87,19.0
69,26.55,15160.53,2.11,-4.89,-0.98,3.46
70,245.87,22979.8,2.01,16.68,15.0,5.93
71,71.95,7317.13,2.54,-8.26,11.3,2.07
72,421.38,43655.04,3.0,12.7,14.93,10.33
73,50.08,22441.85,2.99,10.49,21.68,21.98
74,143.31,28784.46,1.77,-8.95,13.63,22.13
75,209.99,7397.94,1.71,17.05,5.14,20.17
76,120.33,45647.29,1.56,35.3,27.77,10.97
77,481.7,23409.77,0.75,20.21,10.01,5.18
78,198.62,1171.32,1.09,12.02,28.41,10.07
79,101.29,14056.9,0.59,31.57,2.76,16.01
80,247.97,45524.15,1.61,-4.79,-1.44,17.47
81,134.25,33666.51,1.34,3.52,12.55,24.13
82,399.17,24667.51,1.65,-5.19,13.95,7.9
83,440.89,41056.02,1.07,7.58,17.27,22.22
84,203.17,9942.61,0.84,33.28,8.39,3.1
85,335.44,15983.56,1.79,38.84,2.99,12.93
86,170.79,39618.62,1.36,19.06,15.67,1.34
87,492.96,48392.02,2.62,31.19,3.59,14.48
88,206.34,4683.55,1.04,-2.71,22.08,5.1
89,191.49,8973.93,2.6,35.38,-0.51,24.67
90,101.78,17962.42,2.73,26.37,15.46,19.72
91,39.64,17651.31,0.8,-7.56,28.56,10.0
92,457.89,37640.53,2.66,-5.45,17.7,12.93
93,259.58,6820.44,2.88,4.17,19.98,7.14
94,275.02,16301.54,1.31,2.89,22.23,24.28
95,84.46,13524.55,2.48,25.65,20.88,17.01
96,256.49,31852.45,1.16,26.66,12.99,18.07
97,269.44,14722.53,2.48,0.49,28.94,2.81
98,98.93,40163.05,2.23,16.79,29.32,13.46
99,336.99,18117.46,1.58,20.0,-4.56,1.54
100,32.24,36067.09,1.33,33.04,2.43,3.68
101,34.49,21085.93,2.92,33.76,25.11,3.62
102,64.33,36030.14,1.25,39.93,4.57,2.24
103,39.29,13114.35,2.45,20.63,2.23,4.34
104,181.67,45440.43,0.96,4.21,4.25,21.71
105,108.61,819.52,1.59,28.64,5.2,11.82
106,395.09,49065.04,1.54,9.0,26.45,14.01
107,397.29,33929.2,2.9,2.29,7.48,11.36
108,484.55,37910.42,1.63,31.94,20.53,10.21
109,498.05,30731.61,2.49,24.83,10.11,5.33
110,108.99,27763.6,2.86,17.86,1.04,4.08
111,461.46,12688.13,0.9,8.1,25.6,15.43
112,37.11,14724.0,1.91,-0.61,10.34,7.87
113,352.18,10848.37,2.78,-6.8,-3.24,19.53
114,50.68,2250.06,2.37,28.66,-2.07,3.52
115,339.61,27358.5,2.0,39.08,13.75,21.33
116,475.99,13117.91,2.91,16.46,16.12,17.18
117,333.42,30137.35,1.86,6.49,26.88,3.4
118,468.66,17355.2,1.19,-3.9,26.28,24.09
119,295.26,42009.04,0.85,25.53,-2.64,24.13
120,130.63,34073.75,1.0,14.82,23.2,9.4
121,477.09,7624.05,2.76,0.78,20.34,24.94
122,417.26,15168.87,2.03,9.74,12.15,7.37
123,378.04,27852.69,2.88,29.19,9.94,6.87
124,394.33,20416.69,1.17,-0.84,8.61,3.87
125,363.04,8938.05,2.78,-8.14,-3.88,7.47
126,294.78,16233.3,2.79,-3.79,26.98,5.68
127,318.57,248.54,1.82,28.9,1.44,19.22
128,373.24,15239.82,1.39,23.67,18.42,11.24
129,200.49,1114.78,1.2,15.14,3.74,19.11
130,358.04,39178.95,2.11,6.43,3.77,8.53
131,250.32,1091.36,0.54,32.5,-1.43,18.59
132,377.12,17040.79,1.67,4.61,19.69,13.02
133,136.19,48805.14,1.85,33.07,15.66,8.01
134,486.73,36429.08,1.35,36.59,21.74,9.32
135,340.74,46157.22,0.89,28.88,17.48,3.68
136,305.05,49764.46,1.26,38.17,-4.04,2.91
137,104.96,32504.19,1.82,30.76,20.25,2.58
138,198.45,37821.51,1.99,36.75,3.97,15.93
139,182.33,13014.12,1.61,19.62,12.54,17.01
140,207.14,21282.0,2.58,6.49,-3.15,4.08
141,291.8,4186.06,1.41,5.37,20.49,12.4
142,315.79,40475.52,1.86,-3.42,28.71,22.06
143,121.43,37019.54,0.61,16.87,5.19,7.04
144,255.64,35678.86,2.61,15.95,23.55,2.72
145,353.94,20701.94,1.05,12.16,11.32,16.6
146,244.62,22940.13,0.54,6.4,29.45,22.22
147,265.84,10560.97,2.62,-9.37,-0.32,8.46
148,491.02,35593.67,2.0,18.13,23.14,23.24
149,357.29,40524.44,2.31,-9.88,27.36,6.16
150,354.73,46914.98,0.74,17.92,8.4,11.37
151,349.07,28681.45,2.97,38.54,12.2,13.97
152,51.51,41217.04,1.86,14.97,2.29,21.69
153,297.94,28076.49,1.5,34.05,26.06,13.69
154,443.8,44690.21,2.54,23.35,0.07,10.61
155,456.94,34915.5,2.58,-2.87,19.35,21.32
156,49.67,35098.78,1.49,-0.63,25.71,4.66
157,182.79,9088.06,2.11,0.9,27.6,13.71
158,184.26,2146.74,0.53,4.25,25.59,0.61
159,112.54,38470.69,2.67,30.14,7.47,14.81
160,434.76,3479.45,0.6,36.99,0.96,8.66
161,32.36,19047.94,2.26,21.28,24.64,5.19
162,202.41,11539.36,1.49,37.53,5.98,16.9
163,67.38,23180.09,2.74,0.47,11.72,3.65
164,247.54,49367.28,0.91,29.44,7.15,24.45
165,95.33,24557.04,2.87,17.07,1.29,6.97
166,269.38,13044.08,0.78,26.37,18.94,5.46
167,373.24,17169.44,2.04,-4.7,23.72,23.49
168,419.73,13237.68,1.33,37.43,18.6,3.96
169,436.81,41459.01,1.47,27.88,25.57,20.06
170,456.73,2033.67,1.44,29.98,24.42,3.91
171,291.85,9948.16,1.63,21.55,8.45,4.52
172,469.47,25787.74,2.19,0.68,6.65,21.97
173,324.3,38837.18,2.96,34.79,16.0,13.79
174,169.83,255.18,1.73,-8.09,-2.92,2.0
175,305.24,40929.8,1.94,-1.6,11.67,24.05
176,226.76,24572.07,0.83,23.07,23.27,14.82
177,300.05,23954.32,2.48,16.49,10.82,20.11
178,23.76,24227.36,2.82,14.94,22.56,0.67
179,279.19,37047.79,1.66,34.88,20.61,1.96
180,73.89,48210.97,1.27,-7.49,0.86,16.63
181,179.29,1376.15,2.79,25.41,24.84,13.02
182,67.67,19443.13,1.33,8.16,13.64,21.15
183,236.28,7890.67,2.63,-7.65,1.53,15.49
184,92.02,47178.6,0.87,-4.29,23.92,19.83
185,438.08,4952.27,1.98,-6.28,0.44,7.18
186,224.63,22880.04,2.02,10.7,26.08,9.22
187,270.07,18283.74,0.68,32.72,19.43,15.97
188,293.78,19879.73,0.5,5.08,24.21,4.78
189,16.25,8778.48,2.23,-9.54,11.82,3.48
190,134.38,11687.0,2.98,16.8,16.61,15.56
191,341.96,44414.92,1.18,27.66,7.89,8.77
192,93.99,15389.45,1.54,-2.8,19.23,6.47
193,185.63,699.69,2.73,33.73,18.84,17.59
194,260.74,23279.18,1.64,2.0,23.9,17.02
195,398.11,43545.24,1.07,28.82,29.36,22.19
196,397.17,42971.52,1.93,21.17,-4.55,1.99
197,81.73,8342.5,1.65,6.28,13.95,1.29
198,181.46,10902.58,2.37,23.84,1.34,7.04
199,111.3,31853.51,1.23,-8.46,-3.12,18.42
200,106.12,29542.88,2.33,9.17,15.28,11.33
201,494.71,24633.11,2.36,6.01,12.1,6.24
202,237.5,46529.31,2.91,-0.73,19.31,15.57
203,137.77,32579.27,2.61,5.38,15.93,20.32
204,462.32,29505.79,2.3,-6.57,15.57,19.99
205,167.72,6488.51,0.96,-8.42,18.51,6.19
206,334.23,12680.51,1.94,29.81,-2.89,5.19
207,275.17,26357.2,2.19,17.06,5.33,17.88
208,429.28,9810.31,0.57,-7.33,-4.15,23.31
209,137.71,45930.1,1.32,10.35,10.29,13.37
210,57.88,8895.53,0.79,30.42,23.0,1.05
211,130.72,22204.03,0.89,-3.28,4.47,8.34
212,130.8,12626.17,1.91,31.46,-0.41,8.83
213,337.69,16050.66,1.44,10.05,27.12,17.24
214,186.65,19454.34,1.13,12.11,0.26,8.13
215,194.69,45106.62,2.1,0.17,16.22,17.56
216,265.9,27800.0,1.35,26.71,4.12,22.48
217,483.21,12184.9,2.52,22.28,-4.85,9.66
218,59.52,24562.37,2.65,13.18,18.59,5.23
219,174.96,38124.08,2.55,-7.48,18.5,3.45
220,57.66,7818.88,2.6,19.8,8.2,8.23
221,124.81,46524.31,1.54,38.14,-3.53,22.45
222,108.39,31763.73,1.96,4.33,0.87,22.53
223,168.9,40559.1,0.7,23.73,16.35,14.09
224,330.84,29852.84,1.48,23.82,6.75,5.78
225,458.78,28252.02,0.98,28.57,15.93,24.48
226,87.65,26316.81,1.46,21.76,-3.19,18.38
227,317.01,4268.85,1.11,20.75,29.03,2.2
228,435.54,18587.43,1.69,7.63,29.33,18.18
229,179.48,376.51,0.9,33.73,18.97,14.79
230,449.77,32892.57,1.75,-3.24,11.76,13.36
231,372.66,8890.14,1.93,1.62,21.42,2.51
232,229.27,21278.84,1.23,-3.27,26.65,21.85
233,403.28,37630.63,0.96,-2.2,3.46,7.86
234,491.65,31651.16,1.4,29.31,29.78,21.49
235,346.05,18004.58,0.97,-6.0,27.11,14.79
236,354.79,18825.73,2.83,0.87,12.17,19.48
237,121.14,11435.06,1.84,33.36,15.54,4.85
238,447.69,10462.28,1.17,-4.35,27.01,3.26
239,212.56,5425.21,0.59,-4.4,2.68,8.5
240,188.39,23144.94,0.86,-8.94,16.55,0.17
241,322.75,34577.08,2.4,33.03,9.62,9.9
242,404.98,47711.31,0.74,6.33,13.89,8.53
243,436.83,37120.83,1.13,2.58,12.19,16.34
244,89.33,2533.6,2.64,-4.12,29.27,13.85
245,261.15,22550.75,1.99,18.94,1.5,15.53
246,483.83,1916.07,1.67,28.06,22.02,11.12
247,206.75,6168.74,2.96,20.13,21.95,17.16
248,465.63,43893.78,1.85,-9.28,18.49,22.38
249,476.77,36743.55,2.9,19.17,16.74,11.5
250,85.11,2190.44,2.18,2.78,27.11,20.41
251,417.54,37133.73,0.77,-4.37,15.3,6.19
252,234.69,1843.55,0.73,-8.77,17.19,19.46
253,364.12,37347.19,2.91,34.14,23.84,23.37
254,145.89,29006.54,2.65,16.89,28.35,21.19
255,209.89,11705.83,1.81,9.17,8.04,14.98
256,474.28,36016.95,1.31,-9.64,5.47,13.58
257,403.26,21337.93,0.66,28.35,8.18,15.54
258,56.44,37071.28,2.13,5.73,3.16,1.75
259,74.58,39791.61,1.59,24.81,16.73,5.65
260,333.92,45352.91,1.41,13.49,19.09,19.8
261,267.26,13302.01,0.67,3.82,13.59,21.94
262,475.07,16199.74,1.81,1.55,22.47,6.52
263,176.08,22455.18,1.75,26.79,25.75,11.62
264,158.31,31353.38,1.08,19.93,29.87,21.37
265,49.01,34669.87,1.98,3.63,24.8,11.96
266,391.18,5219.43,2.4,22.55,13.16,12.61
267,136.02,7994.76,2.14,1.37,16.95,19.14
268,272.91,19067.59,1.65,-2.88,27.57,21.52
269,312.18,20458.61,2.24,22.83,22.64,11.91
270,243.04,13613.21,1.5,36.82,1.77,1.04
271,15.53,29694.3,1.7,35.77,21.42,13.7
272,486.79,8779.76,0.56,25.4,14.38,20.1
273,381.92,40359.83,1.82,14.29,14.78,20.43
274,368.91,36890.38,2.68,11.91,2.61,17.94
275,451.09,11680.63,1.86,33.62,4.19,3.07
276,281.14,1073.85,1.47,-3.85,15.71,20.99
277,183.79,3552.45,0.85,39.9,-0.93,22.87
278,251.16,313.98,2.69,25.83,-2.36,11.3
279,207.9,45810.2,2.59,35.23,18.13,1.31
280,256.11,2893.22,1.16,-6.07,18.13,4.79
281,100.99,40371.98,0.78,36.71,27.28,17.75
282,129.45,2354.97,0.86,-0.33,26.58,3.28
283,283.9,22175.31,2.15,15.61,-0.53,14.24
284,401.85,33569.95,2.09,-8.37,13.86,8.41
285,317.38,17293.34,1.98,38.07,-2.17,11.32
286,307.36,15985.01,2.46,19.26,-0.08,18.74
287,47.77,41343.36,1.18,25.88,12.95,22.44
288,221.44,33928.16,2.91,27.55,3.44,24.67
289,417.35,49981.12,1.91,27.84,4.43,5.02
290,390.59,41418.32,1.64,30.31,2.18,10.72
291,63.4,8769.39,2.62,8.54,15.43,19.23
292,105.63,29832.3,2.28,33.46,1.59,8.9
293,354.26,43705.76,1.2,13.83,-2.7,11.7
294,193.14,36768.88,2.62,21.32,19.39,3.7
295,220.58,49396.18,1.21,2.21,4.02,6.17
296,448.94,3104.82,2.14,-4.87,7.55,7.1
297,116.69,4809.37,1.72,38.28,8.73,22.33
298,436.86,25467.61,2.21,21.81,1.78,3.93
299,299.15,46898.59,0.75,8.98,27.53,15.95
300,293.08,21029.52,0.68,31.29,28.93,10.66
301,163.73,48195.85,1.57,3.77,15.76,9.1
302,398.62,9093.14,0.98,24.51,19.44,11.34
303,121.83,6095.17,1.16,15.7,17.01,20.33
304,419.89,43335.18,2.69,21.65,25.95,1.82
305,339.69,19975.44,2.36,28.37,-3.58,14.32
306,134.22,21238.21,2.89,-4.31,22.56,8.62
307,368.94,14652.73,2.21,0.06,26.28,18.24
308,219.86,10387.0,1.14,12.35,26.93,8.03
309,43.39,23914.05,0.75,6.22,25.01,5.81
310,422.1,46127.01,1.28,6.58,11.93,0.8
311,70.15,13209.03,0.87,10.21,1.9,21.33
312,415.79,16129.2,1.07,24.09,0.7,23.85
313,268.05,21004.21,1.54,18.25,9.46,23.65
314,461.11,42802.49,2.26,25.01,3.56,6.48
315,480.83,22427.84,1.88,37.6,8.91,2.95
316,346.5,31777.74,2.82,7.86,7.18,8.31
317,496.12,33886.72,1.01,-1.25,4.78,16.74
318,251.43,4257.07,0.61,2.61,2.42,3.36
319,354.47,3705.86,2.32,7.02,-2.79,22.87
320,439.91,5707.85,1.13,18.32,6.51,2.32
321,309.38,3649.83,2.63,17.76,26.27,12.83
322,347.7,2764.41,0.6,27.73,10.93,22.83
323,193.75,17426.5,2.42,8.8,24.75,5.78
324,73.21,9453.97,0.65,28.97,14.67,7.54
325,99.96,31484.94,0.98,9.5,14.38,4.03
326,104.45,45415.38,0.88,6.52,-4.1,11.36
327,303.9,36919.94,1.1,34.76,4.77,3.33
328,54.3,49124.53,2.46,21.79,-3.98,17.92
329,426.24,48287.91,1.77,32.12,23.66,12.08
330,167.3,41421.35,0.62,-0.91,18.4,23.38
331,129.26,4137.35,2.48,38.03,19.0,10.57
332,423.19,18107.67,1.88,25.35,23.63,1.12
333,241.36,31999.16,2.25,-8.54,17.76,7.27
334,78.35,25162.15,1.98,18.99,25.27,0.28
335,17.08,17790.69,1.44,-7.09,13.33,3.54
336,440.02,37180.57,2.27,-3.87,24.56,17.81
337,352.27,2254.63,2.22,-4.77,20.21,17.05
338,264.25,5770.92,2.38,15.64,1.11,20.63
339,225.07,26933.19,0.69,10.99,18.56,23.64
340,494.24,36885.47,0.72,28.47,15.99,9.28
341,319.38,41684.14,2.07,26.56,29.45,23.48
342,322.8,18616.2,0.92,38.51,23.58,15.88
343,146.97,18512.41,2.38,25.89,12.64,1.47
344,260.32,18459.58,1.34,18.3,27.45,8.33
345,103.19,16415.47,1.34,29.66,-1.84,15.47
346,396.59,21309.32,1.96,20.05,16.44,14.57
347,84.74,28925.9,2.85,18.28,15.46,13.03
348,330.68,16759.06,0.73,0.28,4.51,2.03
349,213.1,43461.81,1.44,2.49,0.57,24.64
350,162.43,7777.68,1.63,10.41,18.97,6.0
351,204.58,17230.48,1.53,8.88,15.65,8.24
352,474.89,9216.1,2.63,34.16,26.31,0.72
353,453.51,33425.45,2.47,0.31,25.34,23.67
354,54.37,35085.91,0.69,27.79,0.08,3.07
355,473.84,25674.04,0.64,15.98,12.65,3.78
356,183.9,631.97,0.65,17.66,27.94,8.95
357,170.04,13454.98,1.25,39.52,-2.98,23.16
358,279.97,28699.8,0.69,14.39,19.41,10.34
359,461.82,19649.84,2.83,28.7,5.19,15.71
360,291.85,36084.67,1.7,38.84,14.71,19.43
361,43.57,48514.31,2.6,8.24,0.29,12.61
362,84.38,902.49,1.51,2.05,23.49,19.83
363,175.95,35681.32,2.45,-0.93,8.96,18.19
364,490.67,23621.76,1.86,3.34,16.75,6.39
365,223.91,48238.56,2.24,-9.7,18.35,16.61
366,130.94,27305.25,2.29,34.06,19.28,15.6
367,492.24,9147.17,2.43,31.68,24.62,7.96
368,113.68,13511.32,1.56,0.16,22.1,23.95
369,153.63,49478.74,0.71,-7.41,-1.41,3.27
370,64.75,9827.57,1.4,38.07,15.23,20.39
371,260.93,12625.62,2.3,2.45,19.85,13.45
372,211.5,32269.5,2.15,34.78,18.97,12.44
373,29.75,24761.68,1.88,34.56,10.7,13.22
374,482.17,38230.36,1.84,27.15,-1.5,19.87
375,126.67,38755.38,1.69,20.2,20.85,8.7
376,332.7,24772.52,2.96,36.35,2.59,22.33
377,109.36,42418.19,2.3,30.37,-4.68,11.19
378,175.81,18167.98,0.89,18.89,26.26,23.38
379,154.76,44894.03,2.23,29.17,21.66,18.66
380,105.74,12542.25,1.89,4.02,29.35,16.09
381,355.31,48064.11,0.71,18.71,15.84,15.86
382,436.19,26961.06,2.83,22.62,4.19,3.41
383,202.9,45854.3,2.98,2.12,15.98,2.57
384,103.33,38157.53,2.29,3.57,17.73,10.63
385,379.29,19483.89,1.57,30.98,7.21,7.91
386,171.89,3885.69,1.63,38.08,20.54,24.39
387,441.95,20942.11,2.63,0.1,4.97,11.67
388,63.57,29289.9,1.48,38.54,24.55,23.05
389,56.64,9571.44,3.0,28.53,23.28,9.22
390,424.93,27153.19,1.02,33.96,3.89,23.53
391,166.2,178.9,2.44,16.36,12.03,17.69
392,110.69,32244.04,1.65,4.23,21.32,16.43
393,411.27,17572.44,1.98,32.65,28.0,3.0
394,447.74,10790.08,2.9,-0.9,6.72,3.95
395,486.95,9683.44,0.93,26.5,21.31,15.38
396,232.19,34678.1,2.65,33.14,7.75,1.76
397,495.56,28056.36,2.91,1.78,-1.14,11.12
398,341.81,45101.16,1.78,-7.89,-1.65,14.73
399,179.44,43147.7,0.55,3.0,20.36,12.62
400,82.13,20938.01,1.36,34.89,25.79,0.32
401,398.4,31232.5,2.18,22.78,29.19,21.49
402,126.64,30842.55,2.79,28.64,6.8,8.94
403,149.72,46568.89,2.78,-5.46,1.77,8.16
404,396.18,26953.65,1.34,-2.1,5.83,16.82
405,262.1,6723.22,0.91,21.16,22.59,9.79
406,35.71,3901.79,1.13,30.4,0.8,1.21
407,254.43,4651.97,1.17,21.71,29.95,19.56
408,154.41,48992.59,2.33,32.83,6.66,19.01
409,224.95,11433.38,1.55,38.45,27.24,24.05
410,250.28,2122.81,1.54,12.42,21.26,12.06
411,437.0,28144.0,0.56,9.51,19.02,9.63
412,212.4,45604.09,1.16,10.09,2.13,23.0
413,30.17,2033.8,1.49,10.16,17.9,2.15
414,209.52,4001.59,2.82,33.64,4.43,15.49
415,49.98,21799.42,2.47,30.91,14.87,23.65
416,140.85,25758.48,1.46,22.0,16.8,2.26
417,156.1,25777.94,1.18,12.25,25.05,18.55
418,410.64,12903.22,1.35,-9.62,5.79,6.44
419,187.37,29411.2,0.68,34.21,1.37,5.76
420,409.53,30324.79,2.17,17.77,14.94,22.43
421,40.68,19806.03,2.47,-4.28,1.97,23.37
422,457.96,5003.46,1.11,-4.04,9.87,16.25
423,197.12,3948.65,0.9,-3.35,3.83,18.1
424,93.42,17960.01,2.47,-4.62,-2.99,21.34
425,346.99,18112.96,2.85,24.97,24.42,23.74
426,108.41,20399.6,1.4,-3.83,18.53,0.25
427,250.39,32621.47,2.53,35.54,10.69,2.98
428,373.12,48197.81,2.71,-4.62,23.89,21.4
429,73.03,25222.6,1.07,-4.85,-0.25,4.85
430,202.61,36507.18,1.69,13.82,27.88,20.75
431,434.97,30519.58,1.95,21.98,26.71,19.13
432,77.49,8763.49,2.68,37.77,1.86,14.88
433,220.2,17626.69,1.22,35.01,23.04,9.55
434,354.59,47121.96,2.16,33.85,11.28,14.06
435,354.75,16006.43,1.16,7.87,-3.29,7.25
436,329.75,48382.67,1.73,-5.84,-0.3,23.79
437,141.33,22416.84,1.06,-5.23,23.02,0.64
438,66.06,26305.39,2.43,-7.26,18.13,9.43
439,233.07,690.48,0.58,13.51,0.7,13.7
440,395.57,45326.2,1.12,9.58,15.22,23.56
441,243.28,49500.06,0.7,7.89,-1.17,20.17
442,369.67,25357.8,0.57,20.59,28.62,15.95
443,255.38,12254.39,2.91,-5.83,28.05,9.26
444,118.05,39680.46,2.51,23.99,16.06,23.76
445,489.27,18717.68,2.58,2.69,14.49,19.49
446,69.74,34396.98,0.64,-4.63,3.23,9.82
447,330.61,34103.81,1.32,0.15,25.01,1.68
448,46.03,4593.49,2.69,10.88,27.67,10.48
449,151.23,5412.46,0.75,33.24,-1.87,4.57
450,446.96,9669.22,2.81,-1.28,24.12,20.12
451,426.27,18251.08,1.61,12.6,0.44,23.9
452,372.59,29025.83,0.97,30.41,15.49,14.17
453,307.55,6170.25,0.95,23.9,7.05,9.93
454,491.2,46807.43,2.24,15.22,26.71,19.43
455,24.89,39835.27,1.93,38.09,26.92,4.39
456,232.22,34117.32,2.31,16.45,9.41,20.26
457,359.46,23452.35,0.65,19.15,12.92,15.49
458,351.55,32482.91,1.53,34.42,7.32,2.21
459,381.55,2547.97,2.18,31.63,1.8,15.27
460,452.06,20676.31,1.32,28.99,-0.4,21.94
461,167.88,31114.56,0.98,28.81,16.01,5.56
462,362.46,47044.58,0.91,28.35,6.43,17.09
463,277.19,9394.33,2.61,9.45,24.47,2.19
464,226.0,1895.66,1.55,20.46,26.1,2.08
465,315.19,16113.18,1.5,39.63,19.33,5.87
466,90.32,22807.01,0.52,11.21,-2.98,0.36
467,292.63,47839.15,0.82,11.65,26.43,6.28
468,46.84,23681.58,2.59,-9.57,10.11,20.85
469,38.0,36456.88,1.81,-3.35,8.42,9.39
470,336.3,37910.55,2.09,28.52,4.69,0.44
471,296.76,26195.08,2.36,28.44,27.91,1.75
472,110.43,10880.31,1.18,33.92,19.97,16.99
473,219.7,30232.32,2.01,39.16,2.92,5.22
474,308.42,1228.5,2.3,32.55,-2.29,21.85
475,414.81,39865.1,2.81,25.73,3.15,20.49
476,191.56,9824.36,0.68,33.96,1.21,14.28
477,262.06,8534.62,1.38,18.63,-4.81,13.75
478,221.39,20206.8,1.54,-0.36,-4.81,8.17
479,394.62,4734.78,2.25,31.16,-1.78,10.38
480,346.81,27364.28,0.78,13.07,-1.44,1.6
481,29.21,9382.87,0.8,30.63,22.03,11.85
482,18.82,12451.63,0.56,30.93,8.67,18.68
483,113.22,39536.98,2.09,-5.9,-2.9,2.65
484,194.47,38718.01,0.54,32.14,14.65,2.63
485,282.48,47742.17,1.08,29.79,29.58,17.24
486,232.21,5821.83,2.38,13.04,29.5,24.39
487,489.65,25589.78,2.04,15.8,20.89,13.98
488,52.06,20305.15,2.22,11.93,21.44,14.08
489,79.23,14404.18,2.39,30.92,20.92,14.59
490,390.12,16199.62,2.65,-7.45,21.94,3.87
491,422.27,39358.5,0.93,8.48,13.74,12.95
492,472.94,28809.06,1.61,11.77,8.63,16.7
493,350.85,9322.48,2.71,8.01,-0.12,3.27
494,73.26,734.81,2.61,35.63,0.8,24.35
495,244.29,14705.82,2.43,30.14,12.29,12.06
496,155.26,32070.66,0.86,-8.26,15.22,21.94
497,196.45,46166.36,1.61,22.32,-0.88,20.13
498,417.75,7764.47,2.21,8.48,26.3,10.05
499,487.91,28992.72,1.79,6.18,-2.14,22.18
500,147.72,39426.23,1.01,-6.86,-1.9,9.74
501,264.41,43510.71,1.71,8.55,10.16,19.53
502,376.52,17093.34,2.85,13.61,-3.7,4.42
503,30.98,44202.1,2.19,21.84,27.92,12.95
504,282.73,18127.33,2.34,-1.98,2.23,4.04
505,476.45,12989.14,1.1,14.63,26.4,24.45
506,372.46,20609.22,2.1,29.09,10.12,0.95
507,209.51,42711.54,1.66,-8.53,25.77,4.04
508,71.4,39781.42,1.35,0.89,6.32,18.7
509,157.98,333.26,1.38,37.14,16.51,20.52
